MATCH_DATE,IDENTITY_CODE,TEAM_1,GROUND,TEAM_2,WINNER_INNING,WINNER,HOST_COUNTRY
"Mar 14, 2009",ODI # 2825,New Zealand,Auckland,India,Winner2ndInning,New Zealand,New Zealand
"Jun 26, 2009",ODI # 2852,West Indies,Kingston,India,Winner1stInning,India,West Indies
"Jun 28, 2009",ODI # 2853,West Indies,Kingston,India,Winner2ndInning,West Indies,West Indies
"Jul 3, 2009",ODI # 2854,West Indies,Gros Islet,India,Winner2ndInning,India,West Indies
"Sep 11, 2009",ODI # 2886,New Zealand,Colombo,India,Winner2ndInning,India,Sri Lanka
"Sep 12, 2009",ODI # 2887,Sri Lanka,Colombo,India,Winner1stInning,Sri Lanka,Sri Lanka
"Sep 14, 2009",ODI # 2889,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Sep 26, 2009",ODI # 2898,Pakistan,Centurion,India,Winner1stInning,Pakistan,South Africa
"Sep 30, 2009",ODI # 2904,West Indies,Johannesburg,India,Winner2ndInning,India,South Africa
"Oct 25, 2009",ODI # 2913,Australia,Vadodara,India,Winner1stInning,Australia,India
"Oct 28, 2009",ODI # 2915,Australia,Nagpur,India,Winner1stInning,India,India
"Oct 31, 2009",ODI # 2918,Australia,Delhi,India,Winner2ndInning,India,India
"Nov 2, 2009",ODI # 2919,Australia,Mohali,India,Winner1stInning,Australia,
"Nov 5, 2009",ODI # 2923,Australia,Hyderabad,India,Winner1stInning,Australia,India
"Nov 8, 2009",ODI # 2925,Australia,Guwahati,India,Winner2ndInning,Australia,India
"Dec 15, 2009",ODI # 2932,Sri Lanka,Rajkot,India,Winner1stInning,India,India
"Dec 18, 2009",ODI # 2933,Sri Lanka,Nagpur,India,Winner2ndInning,Sri Lanka,India
"Dec 21, 2009",ODI # 2934,Sri Lanka,Cuttack,India,Winner2ndInning,India,India
"Dec 24, 2009",ODI # 2935,Sri Lanka,Kolkata,India,Winner2ndInning,India,India
"Jan 5, 2010",ODI # 2938,Sri Lanka,Dhaka,India,Winner2ndInning,Sri Lanka,Bangladesh
"Jan 7, 2010",ODI # 2939,Bangladesh,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jan 10, 2010",ODI # 2941,Sri Lanka,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jan 11, 2010",ODI # 2942,Bangladesh,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jan 13, 2010",ODI # 2943,Sri Lanka,Dhaka,India,Winner2ndInning,Sri Lanka,Bangladesh
"Feb 21, 2010",ODI # 2961,South Africa,Jaipur,India,Winner1stInning,India,India
"Feb 24, 2010",ODI # 2962,South Africa,Gwalior,India,Winner1stInning,India,India
"Feb 27, 2010",ODI # 2963,South Africa,Ahmedabad,India,Winner1stInning,South Africa,India
"May 28, 2010",ODI # 2981,Zimbabwe,Bulawayo,India,Winner2ndInning,Zimbabwe,Zimbabwe
"May 30, 2010",ODI # 2983,Sri Lanka,Bulawayo,India,Winner2ndInning,India,Zimbabwe
"Jun 3, 2010",ODI # 2986,Zimbabwe,Harare,India,Winner2ndInning,Zimbabwe,Zimbabwe
"Jun 5, 2010",ODI # 2988,Sri Lanka,Harare,India,Winner2ndInning,Sri Lanka,Zimbabwe
"Jun 16, 2010",ODI # 2993,Bangladesh,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Jun 19, 2010",ODI # 2996,Pakistan,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Jun 22, 2010",ODI # 2999,Sri Lanka,Dambulla,India,Winner2ndInning,Sri Lanka,Sri Lanka
"Jun 24, 2010",ODI # 3001,Sri Lanka,Dambulla,India,Winner1stInning,India,Sri Lanka
"Aug 10, 2010",ODI # 3030,New Zealand,Dambulla,India,Winner1stInning,New Zealand,Sri Lanka
"Aug 16, 2010",ODI # 3032,Sri Lanka,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Aug 22, 2010",ODI # 3038,Sri Lanka,Dambulla,India,Winner2ndInning,Sri Lanka,Sri Lanka
"Aug 25, 2010",ODI # 3039,New Zealand,Dambulla,India,Winner1stInning,India,Sri Lanka
"Aug 28, 2010",ODI # 3040,Sri Lanka,Dambulla,India,Winner1stInning,Sri Lanka,Sri Lanka
"Oct 20, 2010",ODI # 3060,Australia,Visakhapatnam,India,Winner2ndInning,India,India
"Nov 28, 2010",ODI # 3070,New Zealand,Guwahati,India,Winner1stInning,India,India
"Dec 1, 2010",ODI # 3072,New Zealand,Jaipur,India,Winner2ndInning,India,India
"Dec 4, 2010",ODI # 3074,New Zealand,Vadodara,India,Winner2ndInning,India,India
"Dec 7, 2010",ODI # 3076,New Zealand,Bengaluru,India,Winner2ndInning,India,India
"Dec 10, 2010",ODI # 3077,New Zealand,Chennai,India,Winner2ndInning,India,India
